0050, clackercart
0053, rocking horse
0055, train set
0056, elephant slide
0058, ringtoss
006D, moss ball
0083, lucky cat
0084, succulent plant
0090, manhole cover
0092, cone
00A9, ankylo skull
00AA, ankylo torso
00AB, ankylo tail
00B1, archelon skull
00B2, archelon tail
00B4, megacero skull
00B5, megacero torso
00B6, megacero tail
00B8, dimetrodon skull
00B9, dimetrodon torso
00BC, iguanodon skull
00BD, iguanodon torso
00BE, iguanodon tail
00C0, ophthalmo skull
00C1, ophthalmo torso
00C3, mammoth skull
00C4, mammoth torso
00C6, pachy skull
00C7, pachy tail
00CA, parasaur skull
00CB, parasaur torso
00CC, parasaur tail
00CE, ptera body
00CF, right ptera wing
00D0, left ptera wing
00D2, deinony torso
00D3, deinony tail
00D5, sabertooth skull
00D6, sabertooth tail
00D8, diplo skull
00D9, diplo neck
00DA, diplo chest
00DB, diplo pelvis
00DC, diplo tail
00DE, spino skull
00DF, spino torso
00E0, spino tail
00E2, stego skull
00E3, stego torso
00E4, stego tail
00EA, plesio skull
00EB, plesio body
00EC, plesio tail
00EE, T. rex skull
00EF, T. rex torso
00F0, T. rex tail
00F2, tricera skull
00F3, tricera torso
00F4, tricera tail
011F, exercise bike
0122, treadmill
0126, amber
0127, ammonite
0128, coprolite
012A, archaeopteryx
012C, dinosaur track
012D, australopith
012E, shark-tooth pattern
012F, trilobite
0148, crucian carp
0149, goldfish
014A, barbecue
014B, birdbath
014D, birdhouse
014F, Mr. Flamingo
0150, Mrs. Flamingo
0152, lawn mower
0157, tiki torch
017F, acoustic guitar
0212, grass standee
0213, hedge standee
0214, mountain standee
0215, tree standee
0222, stadiometer
0246, brown cicada
0247, tiger butterfly
0248, Rajah Brooke's birdwing
0249, red dragonfly
024A, Queen Alexandra's birdwing
024B, pondskater
024C, ant
024E, pill bug
024F, wharf roach
0250, moth
0252, diving beetle
0253, darner dragonfly
0254, goliath beetle
0255, fly
0256, orchid mantis
0257, tiger beetle
0258, horned hercules
0259, evening cicada
025A, cyclommatus stag
025B, firefly
025C, dung beetle
025D, rice grasshopper
025E, mosquito
025F, mantis
0260, stinkbug
0261, citrus long-horned beetle
0262, peacock butterfly
0263, snail
0264, horned dynastid
0265, grasshopper
0266, earth-boring dung beetle
0267, horned atlas
0268, walking leaf
0269, cricket
026A, giant cicada
026B, spider
026C, agrias butterfly
026D, robust cicada
026E, bagworm
026F, honeybee
0270, miyama stag
0271, yellow butterfly
0272, common butterfly
0273, emperor butterfly
0274, centipede
0276, walking stick
0277, rainbow stag
0278, saw stag
0279, flea
027A, mole cricket
027B, banded dragonfly
027C, monarch butterfly
027D, giant stag
027E, golden stag
027F, scarab beetle
0280, scorpion
0281, cicada shell
0282, bell cricket
0283, wasp
0284, long locust
0285, jewel beetle
0286, tarantula
0287, ladybug
0288, migratory locust
0289, walker cicada
028A, violin beetle
028B, hermit crab
028C, Atlas moth
028D, horned elephant
0298, beach chair
0299, wave breaker
029B, shaved-ice maker
029D, ukulele
02A4, tall lantern
02A5, deer scare
02AA, boomerang
02AB, bottled ship
02AD, Dala horse
02B0, pagoda
02B1, paper tiger
02B2, hula doll
02B5, Statue of Liberty
02BA, moai statue
02BC, Tower of Pisa
02C0, tapestry
02C6, bamboo bench
02CC, screen
02CD, clay furnace
02D2, hearth
02D4, kettle
02D5, paper lantern
02D9, garden rock
02DA, tall garden rock
02E3, tea table
02E6, fireplace
0313, tape deck
0316, hi-fi stereo
0317, jukebox
0319, high-end stereo
031A, phonograph
031C, retro stereo
0325, mush lamp
0328, mush table
0340, modern office chair
0341, upright locker
0347, safe
0348, office desk
034E, alto saxophone
0351, amp
035F, billiard table
0360, bingo wheel
0361, birdcage
0366, book stands
036B, breaker
0370, wooden bucket
0379, camp stove
037B, holiday candle
0380, cat tower
038B, vacuum cleaner
038C, upright vacuum
0393, cuckoo clock
0396, coffee cup
0398, coffee grinder
03A0, pot rack
03A1, air conditioner
03A9, dartboard
03AD, DJ's turntable
03B6, effects rack
03BA, espresso maker
03BB, exit sign
03BD, ventilation fan
03CB, snack machine
03CF, fruit basket
03D5, go board
03DB, harp
03E5, incense burner
03E6, kitchen island
03FF, pile of leaves
0405, low screen
0408, magazine rack
0412, metronome
0413, microwave
0415, silver mic
041A, mixer
041E, moon
0422, music stand
0439, upright piano
043A, picnic basket
043F, pinball machine
0444, popcorn machine
044F, rocking chair
0457, outdoor bath
0458, colorful wheel
045C, sandbox
045D, sand castle
0460, scarecrow
0464, sea globe
0465, revolving spice rack
0466, server
0467, old sewing machine
0468, sewing machine
046B, outdoor air conditioner
0477, smoker
0479, snow globe
047D, soccer goal
0481, spinning wheel
0485, brick oven
0489, cream and sugar
048D, surveillance camera
0492, swinging bench
0493, synthesizer
0499, foosball table
049D, tennis table
04A1, phone box
04A2, telescope
04A5, tire stack
04AF, tricycle
04B0, gold fish trophy
04B1, silver fish trophy
04B2, bronze fish trophy
04B3, gold bug trophy
04B4, silver bug trophy
04B5, bronze bug trophy
04BB, typewriter
04C1, standing toilet
04C5, video camera
04CB, deluxe washer
04CD, bathroom sink
04D0, water cooler
04D2, portable toilet
04D9, DIY workbench
04DB, flashy-flower sign
04EF, pear wardrobe
04F2, barrel
04FD, cacao tree
0508, fan palm
051C, school chair
0525, anatomical model
0527, microscope
052E, skeleton
0530, school desk
0531, podium
0532, basic teacher's desk
0544, hamster cage
055E, sea snail
055F, venus comb
0560, conch
0563, sand dollar
0564, coral
0565, giant clam
0566, cowrie
0583, globe
0584, TV camera
0595, campfire
0596, bonfire
0598, lantern
0599, campfire cookware
059A, sleeping bag
059F, asteroid
05A0, lunar lander
05A1, rocket
05A2, lunar rover
05A3, satellite
05A4, space shuttle
05A5, astronaut suit
05A7, flying saucer
05A9, cello
05AC, weight bench
05B0, judge's bell
05D7, dolly
05DB, Papa bear
05DC, Mama bear
05DD, Baby bear
05E0, giant teddy bear
05E3, teacup ride
05E5, robot hero
0615, wooden-block bed
0616, wooden-block bookshelf
0617, wooden-block bench
0619, wooden-block chest
061D, wooden-block table
061F, oil barrel
063E, exercise ball
0646, serving cart
0654, hammock
0655, lawn chair
0658, garden gnome
0659, iron garden bench
065A, iron garden chair
065B, iron garden table
065C, garden lantern
065F, garden faucet
0660, golf bag
066C, rock guitar
066D, electric guitar
0674, matryoshka
06AC, cassette player
06D0, wall clock
06D6, document stack
06D9, aroma pot
06DD, claw-foot tub
06DF, stack of books
06F2, clothesline pole
06F3, table with cloth
06F7, corkboard
0700, cushion
0705, decoy duck
0706, dinnerware
0707, doghouse
070A, drink machine
070B, drum set
070C, electric bass
0718, changing room
071F, trash bags
0725, cypress plant
072C, humidifier
072E, ironing set
0730, whirlpool bath
0735, simple kettle
0739, kotatsu
073A, laptop
073B, rocket lamp
073C, box sofa
